email,password,role,name,surname,telephone
jim,1234,public,jimmy,kosov,09876512
bob,qwer,admin,bobby,vasilev,08764521
tom,zxcv,public,corry,hosov,05612355
jane,asdf,admin,janet,georgieva,01525125
wendy,4444,public,wendys,kfs,05365263
vasil,123456,admin,vasil,georgiev,06526263
olivias,1111,public,Olivia,Vasileva,08912341
jivko,12345678910,publiclogin,jivko,ivanov,091241412
rashid,00000,publiclogin,Rashid,Rashidov,015125125
georgi,00000,publiclogin,Georgi,Georgiev,0151251251
vasilkas,888888,publiclogin,Vasilka,Vasileva,236262634
Johny,696969,publiclogin,Johny,Bravo,000000111
koko,010101,publiclogin,Koko,Beny,0891111
yolo,7777,publiclogin,jona,anoj,09090909099
Yolo,09090,publiclogin,Tommy,Jonson,09090
Goshev,88,publiclogin,Gosheto,Goshev,08122313
Lolito,1234567654321,publiclogin,Lolita,Kostova,0876546325
gosho,66667777,publiclogin,Gosho,Goshev,6155
Joonny,888888,publiclogin,Johnny,Histogram,45674574
